first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,default,owns_car,tenure
Vito,Norker,Male,78,2002-01-06,,Manufacturing,Affluent Customer,N,ðµ ð ð ð,No,1
Orville,Akerman,Male,43,1956-11-08,Senior Quality Engineer,n/a,Mass Customer,N,ðµ ð ð ð,No,9
Dennie,Eunson,Male,77,1978-01-25,Research Nurse,Health,High Net Worth,N,null,No,9
Michaeline,Bordman,Female,60,1953-11-19,Sales Representative,Retail,Mass Customer,N,á,Yes,20
Emlyn,Anstice,Female,10,1972-06-02,Nuclear Power Engineer,Manufacturing,Affluent Customer,N,../../../../../../../../../../../etc/passwd%00,No,8
Giusto,Torbett,Male,77,1996-12-19,Assistant Media Planner,Entertainment,Mass Customer,N,-1,Yes,2
Freida,Everil,Female,0,1977-05-03,Structural Engineer,Health,High Net Worth,N,â¦testâ§,Yes,14
Berny,Bold,Female,7,1978-07-30,Community Outreach Specialist,IT,High Net Worth,N,01-Feb,Yes,21
Janice,Himsworth,Female,46,1973-04-26,Paralegal,Financial Services,High Net Worth,N,ð ð ±ð ¹ð ±ð ±¸ð ²ð ³,Yes,11
Gale,Done,Male,8,1956-03-26,Research Nurse,Health,Affluent Customer,N,ÅâÂ´Â®â Â¥Â¨ËÃ¸Ïââ,Yes,18
Amby,Pentin,Male,83,1990-02-12,Nuclear Power Engineer,Manufacturing,Affluent Customer,N,â,Yes,10
Reinhard,Jubert,Male,94,1964-03-12,Statistician II,Property,Affluent Customer,N,Ù¡Ù¢Ù£,No,15
Raff,Waadenburg,Male,93,1995-12-01,,Financial Services,Mass Customer,N,1.00E+02,Yes,19
Jerome,Muggeridge,Male,5,1999-12-23,GIS Technical Architect,Telecommunications,Mass Customer,N,â°â´âµ,No,1
Erwin,Pendre,Male,75,1957-12-24,Internal Auditor,IT,Mass Customer,N,testâ testâ«,No,18
Sayres,Duthie,Male,24,1976-08-14,Systems Administrator III,Manufacturing,Affluent Customer,N,â°â´âµ,Yes,17
Ebenezer,Bottelstone,Male,25,1989-08-17,Internal Auditor,Property,High Net Worth,N,á,Yes,13
Lida,Wych,Female,26,1974-07-08,GIS Technical Architect,n/a,Affluent Customer,N,â°â´âµ,No,10
Sheena,O'Duggan,Female,46,1977-12-16,Business Systems Development Analyst,Telecommunications,Mass Customer,N,ì¬íê³¼íì ì´íì°êµ¬ì,No,10
Felicle,Beneze,Female,74,1974-03-08,Analyst Programmer,IT,Mass Customer,N,,No,11
Linc,Vedyasov,Male,2,2001-10-06,,Financial Services,Mass Customer,N,<img src=x onerror=alert('hi') />,No,1
Lauree,Leason,Female,21,1972-03-26,,Argiculture,High Net Worth,N,nil,Yes,10
Britteny,Falconer-Taylor,Female,32,1967-02-24,Staff Scientist,Manufacturing,Mass Customer,N,1,Yes,8
Timothy,Wenham,Male,91,1984-11-13,Executive Secretary,Financial Services,Mass Customer,N,TÌÌ­ÌºÌºoÍ Ì·iÌ²Ì¬ÍÌªÍnÌÌÍvÍÌÌÌÌ¦oÌ¶ÌÌ°Ì keÍÍÌ®ÌºÌªÌ¹Ì±Ì¤ ÌtÍÌÍÌ³Ì£Ì»ÌªhÌ¼ÍÌ²Ì¦Ì³ÌÌ²eÍÌ£Ì°Ì¦Ì¬Í Ì¢Ì¼Ì»Ì±ÌhÍÍÍÍÌÌ£Ì²iÌ¦Ì²Ì£Ì°Ì¤vÌ»ÍeÌºÌ­Ì³ÌªÌ°-mÌ¢iÍnÌÌºÌÌ²Ì¯Ì°dÌµÌ¼ÌÍÌ©Ì¼ÌÌ³ ÌÌ¥Ì±Ì³Ì­rÌÌÌeÍpÍ rÌ¼ÌÌ»Ì­ÌeÍÌºÌ Ì£sÌ,No,5
Marilee,Oosthout de Vree,Female,73,1978-07-02,Tax Accountant,IT,Affluent Customer,N,(ï¾à²¥çà²¥ï¼ï¾ï»¿ â»ââ»,Yes,4
Brittany,Peasey,Female,98,2001-11-06,Help Desk Technician,Argiculture,Mass Customer,N,â¦testâ§,Yes,1
Robin,Crack,Female,34,1995-04-26,Software Engineer III,IT,High Net Worth,N,<img src=x onerror=alert('hi') />,No,3
Shana,Fortesquieu,Female,74,1974-09-24,VP Product Management,Manufacturing,High Net Worth,N,åè£½æ¼¢èª,Yes,6
Myrlene,Rothwell,Female,5,1975-04-02,Structural Analysis Engineer,Entertainment,Mass Customer,N,Ì¦HÍÌ¬Ì¤ÌÌ¤eÍ ÍÌÌ¥ÌÌ»ÍÌwÌhÌÌ¯ÍoÌÍÌÍÌ±Ì® ÒÌºÌÌÌÍWÌ·Ì¼Ì­aÌºÌªÍiÌ¨ÍÍÌ­ÍÌ¯ÌtÌ¶Ì¼Ì®sÌÌÍÍ Ì Ì«Ì BÌ»ÍÍÍÍÌ³eÌµhÌµÌ¬ÍÌ«ÍiÌÌ¹ÍÌ³Ì³Ì®ÍÌ«nÍdÌ´ÌªÌÌ ÍÌ°ÍÌ©ÍÍÍÌ²TÍ¢ÍÌ¼ÍÌªhÍÍÌ®Ì»eÌ¬ÌÍÌ Ì¤Ì¹ÌWÍÍÍÌÌÍÍaÍÍÍÌ¹Ì¼,Yes,18
Marlow,Flowerdew,U,37,,Quality Control Specialist,IT,High Net Worth,N,,No,
Natalee,Bamford,Female,22,1959-08-11,Account Coordinator,Property,Mass Customer,N,ËÉnbá´lÉ ÉuÆÉÉ¯ ÇÉ¹olop ÊÇ ÇÉ¹oqÉl Ên Êunpá´pá´Éuá´ É¹odÉ¯ÇÊ poÉ¯sná´Ç op pÇs 'Êá´lÇ Æuá´Ésá´dá´pÉ É¹nÊÇÊÉÇsuoÉ 'ÊÇÉ¯É Êá´s É¹olop É¯nsdá´ É¯ÇÉ¹oË¥,Yes,5
Cornelius,Yarmouth,U,81,,Assistant Professor,IT,High Net Worth,N,,No,
Eugenie,Domenc,U,58,,Research Nurse,Health,Affluent Customer,N,,Yes,
Mile,Dionisii,Male,97,1991-11-02,Civil Engineer,Manufacturing,Mass Customer,N,1.00E+96,Yes,5
Randolph,Redihalgh,Male,47,1975-11-30,Automation Specialist I,Manufacturing,Affluent Customer,N,ð ð ±ð ¹ð ±ð ±¸ð ²ð ³,Yes,17
Querida,Danilchev,Female,70,1980-12-14,Recruiting Manager,Financial Services,High Net Worth,N,"__ï¾(,_,*)",Yes,17
Osborn,Pentony,Male,57,1969-04-21,Account Representative IV,Manufacturing,Affluent Customer,N,é¨è½æ ¼,Yes,18
Bel,Cheeke,Female,88,1986-08-04,Civil Engineer,Manufacturing,Mass Customer,N,-0.5,Yes,13
Illa,,Female,0,1986-01-23,Electrical Engineer,Manufacturing,Affluent Customer,N,NULL,Yes,16
Jsandye,Melendez,Female,19,1979-10-09,Social Worker,Health,Mass Customer,N,"""'",Yes,14
Melany,Thorrington,Female,32,1960-01-01,,Manufacturing,Affluent Customer,N,null,Yes,5
Allis,Blanche,Female,9,1962-03-30,Senior Cost Accountant,Financial Services,Mass Customer,N,1;DROP TABLE users,Yes,20
Karel,Dimelow,Female,32,1958-03-23,,n/a,Mass Customer,N,â°â´âµ,Yes,10
Alina,Wilsey,Female,54,1976-03-27,Developer III,Financial Services,Affluent Customer,N,0ï¸â£ 1ï¸â£ 2ï¸â£ 3ï¸â£ 4ï¸â£ 5ï¸â£ 6ï¸â£ 7ï¸â£ 8ï¸â£ 9ï¸â£ ð,Yes,14
Jarad,Bauser,Male,84,1991-01-27,,Manufacturing,Affluent Customer,N,0,Yes,2
Welbie,Rockliffe,Male,51,1954-01-02,Human Resources Assistant I,Property,Affluent Customer,N,",ãã»:*:ã»ãâ( â» Ï â» )ãã»:*:ã»ãâ",No,15
Valeria,Ladyman,Female,11,1974-01-19,Software Test Engineer I,Property,High Net Worth,N,0,Yes,8
Levi,Cartmell,Male,91,1996-05-03,Actuary,Financial Services,High Net Worth,N,1.00E+02,Yes,3
Darbee,Klimowicz,Male,22,2001-12-19,Internal Auditor,Retail,Mass Customer,N,,No,1
Libby,Wardesworth,Female,82,1956-01-01,GIS Technical Architect,Financial Services,Affluent Customer,N,TÌÌ­ÌºÌºoÍ Ì·iÌ²Ì¬ÍÌªÍnÌÌÍvÍÌÌÌÌ¦oÌ¶ÌÌ°Ì keÍÍÌ®ÌºÌªÌ¹Ì±Ì¤ ÌtÍÌÍÌ³Ì£Ì»ÌªhÌ¼ÍÌ²Ì¦Ì³ÌÌ²eÍÌ£Ì°Ì¦Ì¬Í Ì¢Ì¼Ì»Ì±ÌhÍÍÍÍÌÌ£Ì²iÌ¦Ì²Ì£Ì°Ì¤vÌ»ÍeÌºÌ­Ì³ÌªÌ°-mÌ¢iÍnÌÌºÌÌ²Ì¯Ì°dÌµÌ¼ÌÍÌ©Ì¼ÌÌ³ ÌÌ¥Ì±Ì³Ì­rÌÌÌeÍpÍ rÌ¼ÌÌ»Ì­ÌeÍÌºÌ Ì£sÌ,No,14
Kippy,Jessel,Female,38,1990-11-16,Internal Auditor,Financial Services,Mass Customer,N,ð¾ ð ð ð ð ð ð ð§,Yes,8
Benji,O'Shirine,Male,2,1977-03-13,Junior Executive,Health,Mass Customer,N,(ï½¡â â âï½¡),Yes,20
Consolata,Clacson,Female,86,1983-01-15,Geologist IV,Entertainment,Affluent Customer,N,TÌÌ­ÌºÌºoÍ Ì·iÌ²Ì¬ÍÌªÍnÌÌÍvÍÌÌÌÌ¦oÌ¶ÌÌ°Ì keÍÍÌ®ÌºÌªÌ¹Ì±Ì¤ ÌtÍÌÍÌ³Ì£Ì»ÌªhÌ¼ÍÌ²Ì¦Ì³ÌÌ²eÍÌ£Ì°Ì¦Ì¬Í Ì¢Ì¼Ì»Ì±ÌhÍÍÍÍÌÌ£Ì²iÌ¦Ì²Ì£Ì°Ì¤vÌ»ÍeÌºÌ­Ì³ÌªÌ°-mÌ¢iÍnÌÌºÌÌ²Ì¯Ì°dÌµÌ¼ÌÍÌ©Ì¼ÌÌ³ ÌÌ¥Ì±Ì³Ì­rÌÌÌeÍpÍ rÌ¼ÌÌ»Ì­ÌeÍÌºÌ Ì£sÌ,No,18
Vernor,,Male,0,1996-11-14,Nuclear Power Engineer,Manufacturing,Affluent Customer,N,"__ï¾(,_,*)",No,1
Kane,Jahnel,Male,65,1989-04-21,Computer Systems Analyst IV,n/a,Mass Customer,N,â,No,14
Cheri,Hazeman,Female,32,1960-11-26,Media Manager II,Financial Services,High Net Worth,N,â¦testâ§,Yes,13
Darcey,Harberer,Female,65,1961-01-21,Chief Design Engineer,n/a,Affluent Customer,N,,Yes,5
Blythe,Keighley,Female,11,1994-08-04,,IT,Mass Customer,N,ZÌ®ÌÍÌ ÍÍAÌ¥ÌÌÍÌ»ÌLÌ£ÍÍÌ¯Ì¹ÌÍGÌ»OÌ­ÌÌ®,Yes,4
Darelle,Ive,U,67,,Registered Nurse,Health,Mass Customer,N,,Yes,
Marcella,Manzell,Female,68,1990-04-12,Programmer IV,Argiculture,Mass Customer,N,Ù¡Ù¢Ù£,No,8
Gar,Wallis,Male,33,1962-12-19,,Health,Mass Customer,N,TÌÌ­ÌºÌºoÍ Ì·iÌ²Ì¬ÍÌªÍnÌÌÍvÍÌÌÌÌ¦oÌ¶ÌÌ°Ì keÍÍÌ®ÌºÌªÌ¹Ì±Ì¤ ÌtÍÌÍÌ³Ì£Ì»ÌªhÌ¼ÍÌ²Ì¦Ì³ÌÌ²eÍÌ£Ì°Ì¦Ì¬Í Ì¢Ì¼Ì»Ì±ÌhÍÍÍÍÌÌ£Ì²iÌ¦Ì²Ì£Ì°Ì¤vÌ»ÍeÌºÌ­Ì³ÌªÌ°-mÌ¢iÍnÌÌºÌÌ²Ì¯Ì°dÌµÌ¼ÌÍÌ©Ì¼ÌÌ³ ÌÌ¥Ì±Ì³Ì­rÌÌÌeÍpÍ rÌ¼ÌÌ»Ì­ÌeÍÌºÌ Ì£sÌ,No,20
Bertrand,Penkethman,Male,35,1973-05-02,Sales Representative,Retail,Affluent Customer,N,',No,9
Mason,Kohrsen,Male,64,1974-04-24,Programmer IV,Manufacturing,Mass Customer,N,TÌÌ­ÌºÌºoÍ Ì·iÌ²Ì¬ÍÌªÍnÌÌÍvÍÌÌÌÌ¦oÌ¶ÌÌ°Ì keÍÍÌ®ÌºÌªÌ¹Ì±Ì¤ ÌtÍÌÍÌ³Ì£Ì»ÌªhÌ¼ÍÌ²Ì¦Ì³ÌÌ²eÍÌ£Ì°Ì¦Ì¬Í Ì¢Ì¼Ì»Ì±ÌhÍÍÍÍÌÌ£Ì²iÌ¦Ì²Ì£Ì°Ì¤vÌ»ÍeÌºÌ­Ì³ÌªÌ°-mÌ¢iÍnÌÌºÌÌ²Ì¯Ì°dÌµÌ¼ÌÍÌ©Ì¼ÌÌ³ ÌÌ¥Ì±Ì³Ì­rÌÌÌeÍpÍ rÌ¼ÌÌ»Ì­ÌeÍÌºÌ Ì£sÌ,No,22
Ulrika,Steagall,Female,23,1974-11-08,Statistician III,Manufacturing,High Net Worth,N,<svg><script>0<1>alert('XSS')</script>,No,20
Prudi,Edon,Female,0,1955-12-30,Technical Writer,Manufacturing,Affluent Customer,N,Â¸ËÃâÄ±ËÃÂ¯ËÂ¿,Yes,15
Elayne,Braiden,Female,70,1979-09-19,Food Chemist,Health,Mass Customer,N,Â¸ËÃâÄ±ËÃÂ¯ËÂ¿,No,10
Domini,Ghelerdini,Female,24,1980-07-11,Help Desk Operator,Property,Mass Customer,N,1/0,Yes,10
Tresa,Reeks,Female,18,1971-05-31,Senior Editor,Retail,Mass Customer,N,â«testâ«,Yes,4
Lida,Boynton,Female,44,1992-06-15,Environmental Tech,Argiculture,Mass Customer,N,,No,6
Andrea,Funcheon,Male,45,1976-02-20,Speech Pathologist,Property,Affluent Customer,N,"<>?:""{}|_+",Yes,19
Pail,Ashplant,Male,54,1976-04-28,Environmental Tech,Financial Services,Mass Customer,N,ð ð ±ð ¹ð ±ð ±¸ð ²ð ³,No,21
Tommie,Banbridge,Female,83,1960-09-13,Electrical Engineer,Manufacturing,Mass Customer,N,01-Feb,Yes,5
Gaby,,Male,33,1975-06-02,Design Engineer,Manufacturing,Mass Customer,N,ã,No,9
Lucius,Prescott,Male,91,1959-02-21,VP Accounting,Financial Services,Mass Customer,N,ã,Yes,6
Korry,Cosgrove,Female,25,1976-01-28,Engineer II,Financial Services,Affluent Customer,N,<svg><script>0<1>alert('XSS')</script>,Yes,11
Allissa,Brinklow,Female,96,1974-01-09,,Property,Mass Customer,N,-$1.00,Yes,11
Emmalee,Sketcher,Female,58,1978-04-30,VP Sales,Manufacturing,High Net Worth,N,ËÉnbá´lÉ ÉuÆÉÉ¯ ÇÉ¹olop ÊÇ ÇÉ¹oqÉl Ên Êunpá´pá´Éuá´ É¹odÉ¯ÇÊ poÉ¯sná´Ç op pÇs 'Êá´lÇ Æuá´Ésá´dá´pÉ É¹nÊÇÊÉÇsuoÉ 'ÊÇÉ¯É Êá´s É¹olop É¯nsdá´ É¯ÇÉ¹oË¥,Yes,10
Dalli,Baggally,Male,39,1961-03-15,Budget/Accounting Analyst III,Financial Services,Affluent Customer,N,nil,No,19
Lazar,Crathern,Male,19,1992-04-11,Recruiting Manager,Retail,Affluent Customer,N,-1.00E+02,Yes,10
Henrieta,MacClancey,Female,94,1977-06-10,Environmental Specialist,n/a,High Net Worth,N,ÃÃÃÃËÃÃï£¿ÃÃÃâ,No,19
Rica,Raveau,Female,39,1970-12-24,Teacher,Manufacturing,Mass Customer,N,nil,No,18
Burr,Gerb,Male,87,1989-07-19,Dental Hygienist,Health,Affluent Customer,N,"__ï¾(,_,*)",Yes,10
Vinny,Hegley,Male,93,1995-04-25,Environmental Tech,Manufacturing,High Net Worth,N,$1.00,Yes,7
Wylma,Elsy,Female,40,1966-12-01,,n/a,High Net Worth,N,1.00E+96,Yes,10
Brett,Scrancher,Female,43,1985-02-14,Health Coach II,Retail,Mass Customer,N,ð©ð½,No,21
Gwen,Jakubczyk,Female,98,1971-07-05,,Health,Mass Customer,N,â,No,7
Abagail,Tordiffe,Female,94,1971-01-18,Project Manager,Property,Mass Customer,N,é¨è½æ ¼,Yes,11
Tobe,Vamplew,Male,64,1979-08-06,Developer II,Financial Services,Affluent Customer,N,",./;'[]\-=",Yes,21
Sheilah,Blackmore,Female,61,1992-06-15,,n/a,Mass Customer,N,ÅâÂ´Â®â Â¥Â¨ËÃ¸Ïââ,No,2
Theo,Tolmie,Female,92,1982-12-02,Dental Hygienist,Health,High Net Worth,N,1'; DROP TABLE users--,No,10
Sigfried,Semken,Male,76,1955-04-15,VP Accounting,Financial Services,Mass Customer,N,../../../../../../../../../../../etc/hosts,No,6
Kienan,Soar,U,30,,Tax Accountant,IT,Mass Customer,N,,No,
Trent,,Male,9,1996-06-20,Associate Professor,Financial Services,Mass Customer,N,ã½à¼¼àºÙÍàºà¼½ï¾ ã½à¼¼àºÙÍàºà¼½ï¾,Yes,4
Winna,Verny,Female,55,1989-09-04,Help Desk Operator,IT,High Net Worth,N,ð¾ ð ð ð ð ð ð ð§,No,8
Craggy,Loadsman,Male,23,1958-01-07,Environmental Tech,Financial Services,Mass Customer,N,Ì¦HÍÌ¬Ì¤ÌÌ¤eÍ ÍÌÌ¥ÌÌ»ÍÌwÌhÌÌ¯ÍoÌÍÌÍÌ±Ì® ÒÌºÌÌÌÍWÌ·Ì¼Ì­aÌºÌªÍiÌ¨ÍÍÌ­ÍÌ¯ÌtÌ¶Ì¼Ì®sÌÌÍÍ Ì Ì«Ì BÌ»ÍÍÍÍÌ³eÌµhÌµÌ¬ÍÌ«ÍiÌÌ¹ÍÌ³Ì³Ì®ÍÌ«nÍdÌ´ÌªÌÌ ÍÌ°ÍÌ©ÍÍÍÌ²TÍ¢ÍÌ¼ÍÌªhÍÍÌ®Ì»eÌ¬ÌÍÌ Ì¤Ì¹ÌWÍÍÍÌÌÍÍaÍÍÍÌ¹Ì¼,No,20
Iona,Fidgeon,Female,73,1985-08-20,Chief Design Engineer,Property,Mass Customer,N,"'""''''""",Yes,3
Bernhard,Senett,Male,60,1991-04-28,Database Administrator IV,Retail,Mass Customer,N,-1,Yes,10
Rabi,Nissle,Male,83,2000-04-07,,n/a,Mass Customer,N,-1.00E+02,Yes,1
Jazmin,Neumann,Female,66,1964-08-09,VP Quality Control,Financial Services,Affluent Customer,N,ð ð ±ð ¹ð ±ð ±¸ð ²ð ³,Yes,15
Peri,Hovie,Female,29,1978-12-19,Help Desk Operator,Health,High Net Worth,N,!@#$%^&*(),No,16
Lynnelle,Comettoi,Female,64,1976-11-05,,n/a,Affluent Customer,N,NULL,Yes,16
Elberta,Tixall,Female,44,1974-11-24,Senior Financial Analyst,Financial Services,Affluent Customer,N,<img src=x onerror=alert('hi') />,Yes,16
Florence,Held,Female,16,1962-09-09,Nurse,Retail,Mass Customer,N,ï¾ï½¥â¿ã¾â²(ï½¡ââ¿âï½¡)â±â¿ï½¥ï¾,No,11
Lennard,Donizeau,Male,64,1980-02-12,Chemical Engineer,Manufacturing,Mass Customer,N,â°â´âµ,Yes,9
Ardelle,,U,9,,Social Worker,Health,Mass Customer,N,,Yes,
Lorilyn,Topaz,Female,81,1990-10-19,VP Quality Control,Financial Services,Mass Customer,N,<svg><script>0<1>alert('XSS')</script>,Yes,9
Gayel,Downs,Female,10,1979-06-06,Registered Nurse,Health,Mass Customer,N,1/0,No,4
Sandor,Tumber,Male,18,1989-07-21,Operator,Retail,Affluent Customer,N,ÅâÂ´â°ËÃÂ¨ËÃâââ,Yes,10
Townie,Perez,Male,2,1974-09-24,Recruiter,Manufacturing,Mass Customer,N,",./;'[]\-=",No,15
Modesty,Fletcher,Female,94,1993-08-26,Senior Cost Accountant,Financial Services,High Net Worth,N,nil,No,1
Row,Mawditt,Female,25,1961-01-14,Community Outreach Specialist,Financial Services,Affluent Customer,N,á ,No,19
Conny,Shearmer,Male,40,1981-12-14,Database Administrator III,Retail,Mass Customer,N,â¦testâ§,No,11
Madel,Palffrey,Female,2,1954-08-16,Systems Administrator I,n/a,Mass Customer,N,,No,12
Gracie,Merrifield,Female,67,1993-05-04,,n/a,Affluent Customer,N,,No,3
Jannelle,Leist,Female,64,1959-04-07,Recruiting Manager,Manufacturing,Affluent Customer,N,"Ø«Ù ÙÙØ³ Ø³ÙØ·Øª ÙØ¨Ø§ÙØªØ­Ø¯ÙØ¯Ø, Ø¬Ø²ÙØ±ØªÙ Ø¨Ø§Ø³ØªØ®Ø¯Ø§Ù Ø£Ù Ø¯ÙÙ. Ø¥Ø° ÙÙØ§Ø Ø§ÙØ³ØªØ§Ø± ÙØªÙØµÙØ¨ ÙØ§Ù. Ø£ÙÙÙ Ø§ÙØ·Ø§ÙÙØ§Ø Ø¨Ø±ÙØ·Ø§ÙÙØ§-ÙØ±ÙØ³Ø§ ÙØ¯ Ø£Ø®Ø°. Ø³ÙÙÙØ§ÙØ Ø¥ØªÙØ§ÙÙØ© Ø¨ÙÙ ÙØ§, ÙØ°ÙØ± Ø",No,16
Raine,Sneezum,Female,16,1989-03-26,Structural Engineer,Entertainment,High Net Worth,N,-1.00E+02,No,7
Millicent,Wiffler,Female,33,1956-10-21,Chemical Engineer,Manufacturing,Mass Customer,N,ã»(ï¿£âï¿£)ã»:*:,Yes,5
Hobie,Knappett,Male,53,1975-08-10,,Health,High Net Worth,N,-1.00E+00,No,15
Tresa,Dy,Female,80,2001-04-28,Chemical Engineer,Manufacturing,Mass Customer,N,á ,No,1
Annissa,Balmforth,Female,23,1966-01-01,,Manufacturing,Affluent Customer,N,00ËÆ$-,Yes,13
Berri,McManamen,Female,78,1967-01-14,Accountant III,Manufacturing,Mass Customer,N,(ï½¡â â âï½¡),No,18
Mikey,Rizzetti,Male,9,1973-08-03,Account Coordinator,Retail,Affluent Customer,N,Ù¡Ù¢Ù£,Yes,17
Giacomo,Johanning,Male,51,1990-10-12,Structural Engineer,Manufacturing,High Net Worth,N,é¨è½æ ¼,Yes,5
Alecia,Crosse,Female,43,1978-06-04,Project Manager,Health,Mass Customer,N,<svg><script>0<1>alert('XSS')</script>,Yes,18
Jorie,Pigott,Female,80,1981-02-24,Information Systems Manager,Health,Mass Customer,N,../../../../../../../../../../../etc/passwd%00,Yes,12
Andee,Robjant,Female,22,1996-05-14,Sales Associate,Health,Mass Customer,N,ã»(ï¿£âï¿£)ã»:*:,No,5
Georgie,Cudbertson,U,84,,,IT,High Net Worth,N,,Yes,
Abrahan,Luckman,Male,84,1985-06-15,Human Resources Manager,Retail,Mass Customer,N,ËÉnbá´lÉ ÉuÆÉÉ¯ ÇÉ¹olop ÊÇ ÇÉ¹oqÉl Ên Êunpá´pá´Éuá´ É¹odÉ¯ÇÊ poÉ¯sná´Ç op pÇs 'Êá´lÇ Æuá´Ésá´dá´pÉ É¹nÊÇÊÉÇsuoÉ 'ÊÇÉ¯É Êá´s É¹olop É¯nsdá´ É¯ÇÉ¹oË¥,Yes,2
Emeline,Jorioz,Female,16,1976-07-10,,Retail,Mass Customer,N,(â¯Â°â¡Â°ï¼â¯ï¸µ â»ââ»),No,15
Florence,Muldoon,Female,8,1987-08-10,Structural Engineer,Financial Services,High Net Worth,N,â¤ï¸ ð ð ð ð ð ð ð ð ð ð ð ð ð ð,No,9
Hilly,Kleinmann,Male,66,1978-09-09,Geological Engineer,Manufacturing,High Net Worth,N,-0.5,Yes,20
Charlean,Fantone,Female,62,1979-05-12,Senior Sales Associate,Argiculture,Affluent Customer,N,ð¾ ð ð ð ð ð ð ð§,Yes,7
Esmaria,Dobbison,Female,33,1955-05-06,Graphic Designer,Health,Mass Customer,N,âââ,Yes,7
Jarib,Senior,Male,99,1970-11-08,Junior Executive,Property,Mass Customer,N,Î©âÃ§ââ«ËÂµâ¤â¥Ã·,No,4
Oralia,Gifford,Female,69,1957-09-08,Junior Executive,n/a,Mass Customer,N,ÃÃÃÃËÃÃï£¿ÃÃÃâ,No,11
Cassie,Morley,Female,67,1961-06-02,,Manufacturing,Affluent Customer,N,Â¸ËÃâÄ±ËÃÂ¯ËÂ¿,Yes,18
Allene,Claypole,Female,96,1973-05-25,Programmer Analyst III,n/a,Mass Customer,N,ZÌ®ÌÍÌ ÍÍAÌ¥ÌÌÍÌ»ÌLÌ£ÍÍÌ¯Ì¹ÌÍGÌ»OÌ­ÌÌ®,No,8
Erma,Vyel,Female,39,1988-03-05,Payment Adjustment Coordinator,Retail,High Net Worth,N,Î©âÃ§ââ«ËÂµâ¤â¥Ã·,Yes,16
Dorree,Sanja,Female,1,1953-10-11,Social Worker,Health,Affluent Customer,N,() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },No,8
Karin,Burkill,Female,99,1977-08-15,Tax Accountant,n/a,Mass Customer,N,Î©âÃ§ââ«ËÂµâ¤â¥Ã·,No,12
Lindy,Fitzpayn,Female,88,1970-06-06,Marketing Assistant,n/a,Mass Customer,N,TÌÌ­ÌºÌºoÍ Ì·iÌ²Ì¬ÍÌªÍnÌÌÍvÍÌÌÌÌ¦oÌ¶ÌÌ°Ì keÍÍÌ®ÌºÌªÌ¹Ì±Ì¤ ÌtÍÌÍÌ³Ì£Ì»ÌªhÌ¼ÍÌ²Ì¦Ì³ÌÌ²eÍÌ£Ì°Ì¦Ì¬Í Ì¢Ì¼Ì»Ì±ÌhÍÍÍÍÌÌ£Ì²iÌ¦Ì²Ì£Ì°Ì¤vÌ»ÍeÌºÌ­Ì³ÌªÌ°-mÌ¢iÍnÌÌºÌÌ²Ì¯Ì°dÌµÌ¼ÌÍÌ©Ì¼ÌÌ³ ÌÌ¥Ì±Ì³Ì­rÌÌÌeÍpÍ rÌ¼ÌÌ»Ì­ÌeÍÌºÌ Ì£sÌ,No,17
Rube,Itzhayek,Male,25,1974-09-20,Accounting Assistant II,IT,Mass Customer,N,åè£½æ¼¢èª,Yes,19
Nettie,Iddy,Female,7,1983-11-07,Operator,Retail,High Net Worth,N,$1.00,No,7
Saleem,Meller,Male,30,1959-10-02,Civil Engineer,Manufacturing,Mass Customer,N,00ËÆ$-,Yes,16
Datha,McPheat,Female,66,1978-12-09,Systems Administrator I,Financial Services,High Net Worth,N,Â¡â¢Â£Â¢âÂ§Â¶â¢ÂªÂºââ ,Yes,9
Hashim,O'Leahy,Male,73,1965-07-08,,Financial Services,Affluent Customer,N,Â¡â¢Â£Â¢âÂ§Â¶â¢ÂªÂºââ ,No,16
Quinn,Fulks,Male,32,1957-12-15,VP Sales,Manufacturing,Mass Customer,N,ð©ð½,No,13
Jaime,Warkup,Male,30,1976-01-31,Analog Circuit Design manager,IT,Mass Customer,N,â£,No,10
Xever,Baldetti,Male,14,1978-06-24,VP Product Management,Financial Services,Mass Customer,N,1/0,Yes,15
Ramonda,McKellar,Female,30,1958-02-15,Assistant Media Planner,Entertainment,Mass Customer,N,â°â´âµâââ,No,6
Clementius,Everington,Male,0,1967-05-01,Clinical Specialist,Health,High Net Worth,N,ï½ï½¨(Â´âï½â©,Yes,5
Maurits,Kix,Male,39,1994-03-07,General Manager,n/a,Mass Customer,N,ç¤¾æç§å­¸é¢èªå­¸ç ç©¶æ,No,2
