first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,Rank,Value,age,age_group
Mick,Macewan,Male,32,1967-12-12,Senior Cost Accountant,Financial Services,Mass Customer,N,No,16,59254 Northland Alley,2032,NSW,Australia,10.0,206,1.1375,55.86065814731911,50-64
Tabbie,Curner,Male,12,1997-03-13,Chief Design Engineer,Retail,Mass Customer,N,No,6,89 Parkside Street,3021,VIC,Australia,6.0,212,1.136875,26.60885968465389,20-34
Shane,Killen,Male,28,1956-10-16,Account Executive,Entertainment,High Net Worth,N,No,10,7 Hazelcrest Place,2165,NSW,Australia,8.0,212,1.136875,67.01489129379028,65-79
Roberta,Goodale,Female,9,1947-02-28,Information Systems Manager,Property,Mass Customer,N,Yes,22,013 David Junction,4211,QLD,Australia,7.0,215,1.12890625,76.64684814437587,65-79
Kippy,Barabisch,Male,11,2000-04-07,Legal Assistant,Manufacturing,Mass Customer,N,No,4,840 Graceland Street,2125,NSW,Australia,11.0,215,1.12890625,23.539665929819773,20-34
Cami,Barnbrook,Female,8,1963-01-01,Occupational Therapist,Health,Affluent Customer,N,Yes,18,890 Truax Lane,4285,QLD,Australia,2.0,218,1.12625,60.80531820194035,50-64
Dorian,Stollen,Male,78,1980-02-16,Statistician I,Financial Services,Mass Customer,N,Yes,18,72922 Cambridge Terrace,2026,NSW,Australia,11.0,219,1.125,43.67970987322724,35-49
Giorgi,O'Shirine,Male,68,1981-06-20,Payment Adjustment Coordinator,Retail,Mass Customer,N,Yes,15,6 Novick Alley,3934,VIC,Australia,8.0,219,1.125,42.33813543980287,35-49
Kort,Disley,Male,66,1979-02-05,Technical Writer,Health,Mass Customer,N,Yes,7,76 Donald Trail,2160,NSW,Australia,9.0,219,1.125,44.70916290785492,35-49
Tobiah,Heinsius,Male,66,2000-01-25,Chief Design Engineer,Health,High Net Worth,N,No,9,3630 Dawn Crossing,2446,NSW,Australia,8.0,223,1.115625,23.739533141329936,20-34
Hersh,Stubbert,Male,0,2000-06-25,Technical Writer,Manufacturing,Mass Customer,N,Yes,15,68 Fairfield Street,4115,QLD,Australia,8.0,226,1.1125,23.323371276267682,20-34
Wyn,Saynor,Male,54,1964-06-22,Cost Accountant,Financial Services,High Net Worth,N,No,8,5 Briar Crest Road,2099,NSW,Australia,9.0,226,1.1125,59.33232423218053,50-64
Maribeth,Stivani,Female,46,1954-11-13,Associate Professor,Financial Services,Mass Customer,N,No,7,945 Bobwhite Court,2430,NSW,Australia,8.0,226,1.1125,68.93963991970321,65-79
Abigale,Sives,Female,48,1963-12-13,VP Marketing,Health,Affluent Customer,N,Yes,14,2 Glendale Center,4207,QLD,Australia,4.0,230,1.109375,59.858002377522325,50-64
Gothart,Artus,Male,52,1978-05-31,Health Coach IV,Health,Mass Customer,N,Yes,14,21824 Northridge Alley,2117,NSW,Australia,10.0,231,1.105,45.393639659602044,35-49
Danny,Bodle,Male,50,1943-09-24,Statistician I,Manufacturing,Mass Customer,N,Yes,18,68 Anthes Park,2007,NSW,Australia,9.0,231,1.105,80.07744562413247,80-94
Deborah,Petrovsky,Female,53,1943-07-14,Teacher,Property,Mass Customer,N,No,16,036 Redwing Street,2011,NSW,Australia,7.0,233,1.1,80.27457492863563,80-94
Latrena,Walklate,Female,97,1943-10-05,Mechanical Systems Engineer,Telecommunications,High Net Worth,N,Yes,13,87 Sheridan Junction,2281,NSW,Australia,8.0,237,1.094375,80.0473286470556,80-94
Leticia,Danovich,Female,84,1941-10-02,Design Engineer,Entertainment,Mass Customer,N,Yes,15,2 Logan Avenue,4307,QLD,Australia,1.0,237,1.094375,82.05421448317817,80-94
Farra,Matyushkin,Female,18,1974-01-24,VP Quality Control,Manufacturing,High Net Worth,N,Yes,9,52761 Portage Crossing,3170,VIC,Australia,9.0,241,1.0875,49.74143598669979,50-64
Robenia,Monks,Female,94,1959-05-08,Nurse Practicioner,Manufacturing,Mass Customer,N,No,5,8 Fieldstone Street,4065,QLD,Australia,9.0,241,1.0875,64.45768614926303,65-79
Roman,Eastwood,Male,57,1969-09-21,Associate Professor,Manufacturing,Affluent Customer,N,Yes,16,8957 Anhalt Alley,3004,VIC,Australia,4.0,241,1.0875,54.08375649978356,50-64
Solomon,Bruck,Male,29,1957-11-15,Junior Executive,Health,Mass Customer,N,No,12,5 High Crossing Junction,4556,QLD,Australia,8.0,244,1.08375,65.93341802602983,65-79
Katharine,Redbourn,Female,8,1967-09-11,Recruiter,Manufacturing,Affluent Customer,N,Yes,4,178 Waxwing Trail,3134,VIC,Australia,10.0,244,1.08375,56.112545591962046,50-64
Cammy,Stoneham,Female,74,1963-05-02,Business Systems Development Analyst,Financial Services,High Net Worth,N,No,14,8648 Green Alley,4680,QLD,Australia,3.0,244,1.08375,60.47403145409474,50-64
Ellsworth,Andrieux,Male,49,1971-04-26,Senior Cost Accountant,Financial Services,Affluent Customer,N,Yes,10,08912 Carberry Place,4036,QLD,Australia,7.0,248,1.078125,52.49029462171625,50-64
Federico,Leuty,Male,59,1978-12-11,Product Engineer,Property,High Net Worth,N,Yes,11,720 Menomonie Crossing,2380,NSW,Australia,4.0,249,1.07578125,44.86248570024627,35-49
Ferdy,Hornung,Male,57,1974-05-14,Analog Circuit Design manager,Entertainment,High Net Worth,N,No,18,0686 Hallows Trail,4506,QLD,Australia,3.0,250,1.075,49.440266215931054,50-64
Sunny,Christescu,Female,90,1975-03-12,Cost Accountant,Financial Services,Mass Customer,N,No,11,6668 Blue Bill Park Plaza,2209,NSW,Australia,10.0,250,1.075,48.61341829982052,35-49
Shadow,Yakutin,Male,85,1967-02-03,Software Test Engineer IV,Health,Affluent Customer,N,Yes,6,06 Dwight Park,4119,QLD,Australia,2.0,252,1.073125,56.71488513349952,50-64
Sharai,Priddie,Female,13,1961-01-16,Sales Representative,Retail,Mass Customer,N,No,9,5202 Crowley Place,2145,NSW,Australia,9.0,252,1.073125,62.76292171193713,50-64
Celeste,Fretson,Female,91,1980-09-16,Product Engineer,IT,Mass Customer,N,No,9,14709 Portage Avenue,2166,NSW,Australia,9.0,252,1.073125,43.09653568073868,35-49
Lea,Ilyinski,Female,75,1997-09-25,Structural Analysis Engineer,Financial Services,High Net Worth,N,No,12,895 Glendale Park,2026,NSW,Australia,12.0,252,1.073125,26.072229911284143,20-34
Dyann,Olechnowicz,Female,17,1939-07-17,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,16,0474 Bowman Hill,3031,VIC,Australia,10.0,252,1.073125,84.26644334482488,80-94
Delly,Sunman,Female,49,1959-04-11,Account Coordinator,Retail,Mass Customer,N,No,15,652 Fuller Terrace,3206,VIC,Australia,12.0,252,1.073125,64.53160963845171,65-79
Kaela,Romaines,Female,41,1971-11-27,Geological Engineer,Manufacturing,High Net Worth,N,No,19,9193 Prairieview Drive,2155,NSW,Australia,10.0,259,1.0625,51.901644615213726,50-64
Evonne,Bembridge,Female,9,1969-07-06,Recruiting Manager,Retail,Mass Customer,N,Yes,14,13272 Basil Avenue,3103,VIC,Australia,9.0,259,1.0625,54.29457533932168,50-64
Shannen,Lewin,Female,21,1991-06-07,Analog Circuit Design manager,Argiculture,High Net Worth,N,No,6,29 Aberg Crossing,4210,QLD,Australia,6.0,259,1.0625,32.374891841371685,20-34
Bogey,Attew,Male,88,1992-11-18,Software Engineer II,IT,Mass Customer,N,Yes,10,4 Monterey Road,4165,QLD,Australia,9.0,259,1.0625,30.92380112766778,20-34
Zondra,Ringham,Female,36,1948-01-13,Cost Accountant,Financial Services,Mass Customer,N,Yes,7,416 Lighthouse Bay Lane,4510,QLD,Australia,5.0,259,1.0625,75.77345580914653,65-79
Barnebas,Apfel,Male,57,1996-02-19,Account Executive,Manufacturing,Affluent Customer,N,Yes,2,05475 Elgar Place,4000,QLD,Australia,6.0,259,1.0625,27.671167603365433,20-34
Gerri,Schimann,Female,81,1969-11-17,Desktop Support Technician,Property,Mass Customer,N,Yes,18,47 Kim Terrace,2566,NSW,Australia,8.0,259,1.0625,53.92769580038522,50-64
Antonietta,Egle,Female,82,1973-09-25,Actuary,Financial Services,Mass Customer,N,No,7,590 Hagan Parkway,3805,VIC,Australia,7.0,259,1.0625,50.0727227345454,50-64
Raff,Waycott,Male,70,1951-12-16,Engineer IV,Manufacturing,Affluent Customer,N,Yes,14,94694 Eagle Crest Terrace,3977,VIC,Australia,7.0,259,1.0625,71.85003506813199,65-79
Lark,Gonet,Female,89,1972-01-17,Database Administrator II,Health,High Net Worth,N,No,8,261 Orin Center,2763,NSW,Australia,8.0,259,1.0625,51.76201135785731,50-64
Cletis,Longley,Male,84,1996-07-01,Chemical Engineer,Manufacturing,High Net Worth,N,Yes,1,667 Waxwing Plaza,3199,VIC,Australia,7.0,271,1.06,27.30702597143596,20-34
Theresa,Cowper,Female,99,1976-08-24,Accountant III,Manufacturing,Mass Customer,N,No,3,88 Mifflin Pass,2529,NSW,Australia,10.0,271,1.06,47.15958967910963,35-49
Philbert,Raraty,Male,48,1956-06-28,Executive Secretary,Manufacturing,Mass Customer,N,No,6,10 Dexter Park,2177,NSW,Australia,9.0,274,1.051875,67.31606106455902,65-79
Egon,Ortells,Male,35,1976-06-11,Structural Engineer,Manufacturing,Affluent Customer,N,No,13,3 Sundown Hill,2168,NSW,Australia,9.0,274,1.051875,47.36219479762678,35-49
Timi,Duny,Female,70,1953-03-12,Office Assistant II,Telecommunications,High Net Worth,N,No,6,39192 Glendale Alley,2092,NSW,Australia,12.0,274,1.051875,70.61250110097319,65-79
Dominick,Asher,Male,50,1962-10-06,Research Associate,Health,Affluent Customer,N,Yes,5,7307 Lake View Crossing,3804,VIC,Australia,9.0,278,1.05,61.04351611154835,50-64
Raye,Roo,Female,64,1976-03-07,Database Administrator I,Financial Services,Mass Customer,N,Yes,16,1199 Express Plaza,3046,VIC,Australia,9.0,278,1.05,47.62503387029768,35-49
Becka,Hacon,Female,81,1965-07-03,General Manager,Financial Services,Affluent Customer,N,No,17,1 Namekagon Point,3791,VIC,Australia,9.0,278,1.05,58.302871197552854,50-64
Verla,Dumingos,Female,26,1971-09-18,Design Engineer,Telecommunications,Mass Customer,N,Yes,10,6784 Spohn Alley,3021,VIC,Australia,8.0,282,1.04921875,52.09329810570292,50-64
Sherrie,Godleman,Female,37,1978-04-02,Associate Professor,Manufacturing,Mass Customer,N,No,19,67 Shelley Crossing,3350,VIC,Australia,2.0,282,1.04921875,45.55517617301436,35-49
Konstanze,Hovie,Female,88,1967-01-09,Pharmacist,Health,Mass Customer,N,No,11,351 Sunfield Lane,4370,QLD,Australia,7.0,285,1.04125,56.78333280867423,50-64
Bink,Bentje,Male,3,1957-03-23,Payment Adjustment Coordinator,Financial Services,High Net Worth,N,Yes,19,8427 Moulton Place,2680,NSW,Australia,3.0,285,1.04125,66.5823019866861,65-79
Taber,Szymon,Male,70,1947-04-22,Senior Sales Associate,Argiculture,Affluent Customer,N,No,13,984 Del Sol Junction,4659,QLD,Australia,8.0,287,1.04,76.50173907300547,65-79
Giana,Staresmeare,Female,96,1976-04-20,Account Representative IV,Retail,Affluent Customer,N,Yes,9,8737 Scoville Center,2770,NSW,Australia,7.0,289,1.0375,47.50456596199018,35-49
Morton,Petkens,Male,50,1990-11-13,Account Coordinator,Manufacturing,High Net Worth,N,Yes,10,385 Montana Place,3012,VIC,Australia,1.0,289,1.0375,32.93890068481132,20-34
Paquito,Atwood,Male,15,1972-07-30,Nuclear Power Engineer,Manufacturing,Affluent Customer,N,No,9,2 Magdeline Street,3199,VIC,Australia,8.0,291,1.0359375,51.22811949149455,50-64
Shelli,Bartholomaus,Female,88,1963-05-11,Associate Professor,Health,Mass Customer,N,Yes,6,356 Carberry Avenue,3082,VIC,Australia,7.0,291,1.0359375,60.44939029103185,50-64
Kermit,Lebond,Male,36,1980-02-01,Financial Advisor,Financial Services,Mass Customer,N,No,4,71 Ludington Center,4208,QLD,Australia,8.0,295,1.03125,43.720778478332065,35-49
Biddie,Gorce,Female,68,1988-01-30,Senior Financial Analyst,Financial Services,Mass Customer,N,Yes,5,2116 Continental Terrace,2795,NSW,Australia,7.0,295,1.03125,35.72609001792562,35-49
Geoff,Sitford,Male,97,1965-02-27,Account Executive,Financial Services,Mass Customer,N,Yes,4,7 Elgar Road,2148,NSW,Australia,8.0,297,1.030625,58.647847480433406,50-64
Tiphanie,Blackader,Female,59,1947-10-08,Physical Therapy Assistant,Retail,Mass Customer,N,No,17,71 Stone Corner Avenue,2007,NSW,Australia,11.0,297,1.030625,76.03903278882441,65-79
Zollie,Crinidge,Male,39,1988-01-10,Systems Administrator I,Retail,Mass Customer,N,Yes,10,0 Esker Avenue,4019,QLD,Australia,5.0,297,1.030625,35.78084815806539,35-49
Daisy,Pollen,Female,97,1993-08-09,Cost Accountant,Financial Services,Mass Customer,N,No,7,61825 Debs Terrace,3167,VIC,Australia,9.0,302,1.03,30.20099367782281,20-34
Emelen,Bidnall,Male,79,1981-08-05,Systems Administrator IV,Health,Affluent Customer,N,Yes,11,11 Oak Terrace,2026,NSW,Australia,12.0,302,1.03,42.212191717481396,35-49
Manya,Abramovici,Female,42,1955-07-17,Quality Engineer,Financial Services,High Net Worth,N,Yes,13,8 Randy Park,4214,QLD,Australia,8.0,304,1.025,68.26611479598404,65-79
Brynna,Tivers,Female,81,1974-08-09,Recruiting Manager,Financial Services,Mass Customer,N,No,6,0 Mayfield Parkway,4272,QLD,Australia,7.0,304,1.025,49.202068306323056,50-64
Loleta,Aberdalgy,Female,45,1981-02-15,Occupational Therapist,Health,Mass Customer,N,No,11,99 Westend Court,2287,NSW,Australia,6.0,304,1.025,42.68037381567643,35-49
Claudine,Dymick,Female,28,1965-12-13,Design Engineer,Health,Mass Customer,N,No,5,31675 Corry Way,3977,VIC,Australia,5.0,312,1.02,57.85659235541373,50-64
Seamus,Cains,Male,61,1989-12-15,Teacher,Manufacturing,High Net Worth,N,No,7,4882 Dakota Center,2305,NSW,Australia,8.0,312,1.02,33.85062371813849,20-34
Guss,Karim,Male,95,1968-11-24,Senior Sales Associate,Manufacturing,Mass Customer,N,No,7,4 Warner Circle,2227,NSW,Australia,11.0,312,1.02,54.9078665088871,50-64
Roch,Symson,Female,96,1978-05-13,Office Assistant I,Manufacturing,High Net Worth,N,No,18,016 Westport Park,3073,VIC,Australia,9.0,312,1.02,45.442921985727835,35-49
Audry,Fann,Female,3,1957-10-17,Pharmacist,Health,Mass Customer,N,Yes,15,19 Debs Parkway,3029,VIC,Australia,6.0,312,1.02,66.01281732923249,65-79
Clari,Voas,Female,74,1955-07-28,Human Resources Assistant II,Health,Affluent Customer,N,Yes,14,4110 Mifflin Center,2127,NSW,Australia,8.0,312,1.02,68.23599781890717,65-79
Zach,Hedman,Male,87,1981-09-11,Analyst Programmer,Financial Services,Affluent Customer,N,Yes,4,62 Spaight Center,2566,NSW,Australia,9.0,320,1.015625,42.11088915822282,35-49
Parnell,Lamprey,Male,23,1977-04-08,Engineer III,Financial Services,High Net Worth,N,No,12,7353 Mallard Junction,2165,NSW,Australia,6.0,322,1.0125,46.538084788523236,35-49
Honey,Gosdin,Female,0,1981-11-29,Software Engineer I,Property,Mass Customer,N,No,17,066 Warner Trail,2582,NSW,Australia,9.0,322,1.0125,41.89459450467073,35-49
Sonny,McCart,Male,35,1992-08-27,Account Representative I,Manufacturing,High Net Worth,N,No,9,52752 Barby Hill,3020,VIC,Australia,9.0,324,1.01,31.151047409247823,20-34
Deirdre,Burgoine,Female,14,1955-01-08,Programmer III,Health,High Net Worth,N,No,7,0 Stoughton Park,3000,VIC,Australia,1.0,326,1.009375,68.78631712731185,65-79
Zechariah,McReidy,Male,32,1978-07-22,Technical Writer,Manufacturing,High Net Worth,N,No,21,797 Westend Street,4207,QLD,Australia,6.0,329,1.0,45.25126849523864,35-49
Carry,Costi,Female,32,1972-11-26,Senior Developer,Property,Mass Customer,N,No,11,5316 Farwell Hill,2800,NSW,Australia,4.0,329,1.0,50.90230855766292,50-64
Nil,Shirer,Male,64,1997-09-27,Librarian,Entertainment,Mass Customer,N,Yes,7,4793 Mcbride Pass,3013,VIC,Australia,8.0,329,1.0,26.066754097270167,20-34
Erhard,O'Moylane,Male,33,1978-05-27,Media Manager I,Retail,Affluent Customer,N,Yes,9,01124 Dottie Lane,3630,VIC,Australia,2.0,334,0.99875,45.40459128763,35-49
Vitia,Axtens,Female,62,1945-08-08,Financial Advisor,Financial Services,Mass Customer,N,Yes,15,42681 Carey Alley,2011,NSW,Australia,10.0,334,0.99875,78.20471723135232,65-79
Haskell,Moxted,Male,81,1943-08-27,Civil Engineer,Manufacturing,Mass Customer,N,No,7,2941 Talisman Alley,2145,NSW,Australia,9.0,334,0.99875,80.15410702032814,80-94
Ebony,Conrad,Female,8,1999-10-24,Environmental Tech,Financial Services,Mass Customer,N,Yes,16,990 Hoffman Avenue,3029,VIC,Australia,7.0,334,0.99875,23.994158492979867,20-34
Nicole,Ruckhard,Female,93,1969-10-09,Human Resources Manager,Health,Affluent Customer,N,Yes,17,23694 Leroy Place,4560,QLD,Australia,3.0,341,0.99,54.03447417365777,50-64
Celestina,Lethardy,Female,38,1968-12-11,Software Consultant,IT,Mass Customer,N,Yes,11,53 Memorial Street,3163,VIC,Australia,10.0,341,0.99,54.8613220897683,50-64
Tannie,Petrakov,Male,84,1951-11-27,Data Coordiator,IT,Affluent Customer,N,No,10,691 Valley Edge Alley,4078,QLD,Australia,6.0,341,0.99,71.90205530126477,65-79
Bessy,Saladin,Female,22,1939-12-22,VP Marketing,Manufacturing,Mass Customer,N,Yes,16,60073 Pankratz Pass,4075,QLD,Australia,10.0,341,0.99,83.8338540377207,80-94
Diego,Van den Broek,Male,17,1964-09-28,Business Systems Development Analyst,Manufacturing,Affluent Customer,N,Yes,13,8 Schlimgen Drive,4055,QLD,Australia,7.0,345,0.988125,59.06400934549566,50-64
Cissiee,Pollington,Female,43,1941-07-21,Associate Professor,Property,Mass Customer,N,Yes,7,69710 Northfield Center,2256,NSW,Australia,9.0,345,0.988125,82.25408169468832,80-94
Eddy,Sturch,Male,22,1961-02-11,Software Consultant,Financial Services,High Net Worth,N,Yes,17,1 Kinsman Crossing,4158,QLD,Australia,6.0,345,0.988125,62.691736129755434,50-64
Caron,Kezar,Female,11,1953-08-08,Social Worker,Health,Mass Customer,N,No,5,40553 Rigney Avenue,2835,NSW,Australia,1.0,349,0.9875,70.20455295693189,65-79
Sandor,Stirland,Male,67,1981-05-26,Web Developer IV,Manufacturing,High Net Worth,N,No,12,48578 Farmco Park,3235,VIC,Australia,10.0,349,0.9875,42.40658311497758,35-49
Delinda,Ech,Female,74,1944-10-21,Environmental Specialist,Argiculture,Mass Customer,N,Yes,17,28 Golf View Terrace,3101,VIC,Australia,10.0,349,0.9875,79.00144817038598,80-94
Hussein,Tapenden,Male,19,1953-10-19,Pharmacist,Health,Affluent Customer,N,Yes,12,0197 Sachs Avenue,2747,NSW,Australia,8.0,349,0.9875,70.00742365242873,65-79
Kaylyn,Jakaway,Female,45,1980-07-30,Registered Nurse,Health,Affluent Customer,N,No,10,67 Heath Circle,2290,NSW,Australia,8.0,356,0.9828125,43.22795521707413,35-49
Brynn,Goodyear,Female,30,1944-11-10,Human Resources Manager,Health,Mass Customer,N,Yes,11,3 Sheridan Lane,3075,VIC,Australia,7.0,356,0.9828125,78.94669003024622,65-79
Pace,Clemonts,Male,99,1990-07-28,Media Manager IV,Retail,High Net Worth,N,No,10,335 Cambridge Hill,3122,VIC,Australia,7.0,358,0.98,33.234594641566076,20-34
Muffin,Grigolon,Male,7,1979-10-31,Senior Editor,Telecommunications,Mass Customer,N,No,12,4597 Marcy Point,2232,NSW,Australia,10.0,361,0.9775,43.97540382998199,35-49
Allsun,Biner,Female,67,1997-12-26,Nurse Practicioner,Financial Services,Mass Customer,N,Yes,10,9 Walton Way,2641,NSW,Australia,2.0,361,0.9775,25.8203424666412,20-34
Kenneth,Elleyne,Male,13,1957-09-03,Technical Writer,Financial Services,Mass Customer,N,No,13,27429 Dottie Plaza,3145,VIC,Australia,11.0,361,0.9775,66.13328523753998,65-79
Clotilda,Southers,Female,62,1999-11-08,Computer Systems Analyst II,Financial Services,Mass Customer,N,Yes,15,42 Donald Hill,2323,NSW,Australia,4.0,361,0.9775,23.953089887875038,20-34
Daisi,Tinwell,Female,84,1971-12-24,Business Systems Development Analyst,Financial Services,Mass Customer,N,No,11,19561 Express Street,2777,NSW,Australia,8.0,366,0.975,51.82772112602503,50-64
Gerik,Woodroof,Male,18,1959-06-13,Paralegal,Financial Services,High Net Worth,N,Yes,9,41 Kropf Road,3175,VIC,Australia,7.0,366,0.975,64.35912149701143,65-79
Arty,Fontelles,Male,50,1994-10-21,Help Desk Technician,IT,High Net Worth,N,No,4,7872 South Junction,3197,VIC,Australia,4.0,370,0.97,29.001790408761845,20-34
Whit,Emloch,Male,30,1963-08-20,Food Chemist,Health,Mass Customer,N,Yes,6,105 Carpenter Court,2220,NSW,Australia,9.0,372,0.966875,60.172861683326005,50-64
Rowan,Summerly,Male,4,1974-07-05,Librarian,Entertainment,Mass Customer,N,No,9,58231 Tomscot Plaza,2209,NSW,Australia,10.0,372,0.966875,49.29789505156765,50-64
Ian,Rabat,Male,54,1975-08-04,Web Designer I,Financial Services,Affluent Customer,N,No,11,3 Loeprich Point,3204,VIC,Australia,11.0,372,0.966875,48.21642178380719,35-49
Harriet,Brattan,Female,81,1986-12-03,Human Resources Assistant I,Financial Services,High Net Worth,N,No,2,66 Ruskin Parkway,3579,VIC,Australia,1.0,378,0.95625,36.88422468188176,35-49
Sada,Branton,Female,34,1974-06-24,Nuclear Power Engineer,Manufacturing,Affluent Customer,N,No,14,9736 Mitchell Pass,3199,VIC,Australia,6.0,378,0.95625,49.32801202864453,50-64
Jenelle,Mc-Kerley,Female,40,1942-01-23,Data Coordiator,Financial Services,Mass Customer,N,Yes,16,9 Springview Terrace,4068,QLD,Australia,5.0,378,0.95625,81.74483099138847,80-94
Gabrila,Toopin,Female,7,1963-01-14,Junior Executive,Manufacturing,Mass Customer,N,No,12,1914 Oakridge Place,2456,NSW,Australia,6.0,378,0.95625,60.7697254108495,50-64
Almira,Mangion,Female,4,1996-01-24,VP Product Management,Financial Services,Affluent Customer,N,Yes,2,179 Anzinger Center,2230,NSW,Australia,12.0,382,0.95,27.74235318554713,20-34
Arty,Strudwick,Male,85,1964-01-31,Data Coordiator,Health,Mass Customer,N,Yes,8,62 Melrose Court,2211,NSW,Australia,10.0,382,0.95,59.72384493417989,50-64
Alexa,Dillet,Female,65,1944-10-05,Product Engineer,Entertainment,Affluent Customer,N,No,17,84650 Novick Point,2261,NSW,Australia,7.0,382,0.95,79.0452546824978,80-94
Palmer,Heaven,Male,82,1995-05-18,Staff Scientist,Financial Services,Affluent Customer,N,Yes,9,5 Hoard Parkway,3754,VIC,Australia,6.0,382,0.95,28.429567844301246,20-34
Porter,Buckenhill,Male,46,1954-06-14,Help Desk Operator,Manufacturing,High Net Worth,N,Yes,9,376 Talmadge Street,4124,QLD,Australia,7.0,386,0.945625,69.35580178476546,65-79
Giffie,Offill,Male,51,1993-03-02,Structural Engineer,Telecommunications,Affluent Customer,N,No,5,89 Riverside Court,4740,QLD,Australia,3.0,386,0.945625,30.639058798940972,20-34
Tamar,Windmill,Female,92,1939-08-28,Senior Editor,Manufacturing,Affluent Customer,N,No,10,4669 Troy Place,2207,NSW,Australia,10.0,386,0.945625,84.15145125053137,80-94
Kipp,Stockport,Male,36,1982-12-10,Data Coordiator,Retail,Mass Customer,N,Yes,6,02 Roth Drive,2022,NSW,Australia,11.0,386,0.945625,40.86514147004305,35-49
Packston,Wackett,Male,10,1950-04-26,Quality Engineer,Financial Services,Mass Customer,N,No,19,7 Northridge Court,3192,VIC,Australia,9.0,386,0.945625,73.49004136531812,65-79
Demetria,Bausor,Female,73,1961-12-22,Assistant Media Planner,Entertainment,Mass Customer,N,Yes,9,97 Transport Plaza,2097,NSW,Australia,12.0,396,0.9375,61.83203332956104,50-64
Lura,Fawdrie,Female,66,2002-01-17,VP Sales,Health,Mass Customer,N,Yes,4,67183 Anniversary Parkway,4211,QLD,Australia,3.0,396,0.9375,21.760026375277242,20-34
Estevan,Eastment,Male,54,1942-08-09,Environmental Specialist,Health,Mass Customer,N,Yes,21,61926 Tomscot Hill,2019,NSW,Australia,8.0,396,0.9375,81.20272540400474,80-94
Aloysius,Glowacz,Male,72,1979-03-24,Financial Advisor,Financial Services,Affluent Customer,N,No,18,07 Susan Lane,2232,NSW,Australia,10.0,396,0.9375,44.580481278526456,35-49
Bastien,Ibbeson,Male,53,1976-11-04,Software Consultant,IT,Mass Customer,N,No,12,43094 Kedzie Pass,2487,NSW,Australia,5.0,401,0.935,46.96246037460646,35-49
Otha,Langworthy,Female,91,1967-01-20,Senior Financial Analyst,Financial Services,Mass Customer,N,Yes,13,678 Lyons Trail,3130,VIC,Australia,10.0,401,0.935,56.75321583159736,50-64
Dwayne,Doel,Male,80,1978-01-21,Cost Accountant,Financial Services,Affluent Customer,N,Yes,17,5642 Debs Terrace,2223,NSW,Australia,11.0,401,0.935,45.74956757051055,35-49
Leese,Huckleby,Female,67,1977-09-10,Help Desk Operator,Manufacturing,High Net Worth,N,Yes,16,73 Riverside Trail,3777,VIC,Australia,7.0,405,0.93,46.11370920244002,35-49
Kippar,Brimilcome,Male,21,1938-11-29,Graphic Designer,Health,Mass Customer,N,No,19,082 Welch Lane,2089,NSW,Australia,11.0,405,0.93,84.89616195643224,80-94
Corinna,Beretta,Female,24,1996-02-29,Programmer III,Health,High Net Worth,N,No,12,72 Mccormick Circle,3023,VIC,Australia,7.0,408,0.9296875,27.643788533295545,20-34
Laurie,Odlin,Female,75,1983-03-08,Social Worker,Health,High Net Worth,N,No,10,15669 Arizona Trail,3194,VIC,Australia,10.0,409,0.925,40.624205653428064,35-49
Tanner,Terlinden,Male,84,1995-12-09,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,14,2637 Monument Trail,3106,VIC,Australia,11.0,409,0.925,27.868296907868604,20-34
Hilliard,Dullard,Male,65,1954-07-18,Civil Engineer,Manufacturing,Mass Customer,N,No,17,37919 Old Gate Park,2163,NSW,Australia,8.0,409,0.925,69.26271294652786,65-79
Justinn,Haruard,Female,48,1958-08-28,Health Coach IV,Health,High Net Worth,N,No,11,00 Judy Terrace,2035,NSW,Australia,12.0,414,0.924375,65.15037662203112,65-79
Art,Shardlow,Male,57,1963-10-15,Data Coordiator,Argiculture,Mass Customer,N,Yes,15,7 Clemons Circle,4350,QLD,Australia,2.0,415,0.921875,60.01953889093465,50-64
Dennis,Varnham,Male,57,1953-05-17,Assistant Media Planner,Entertainment,Affluent Customer,N,No,17,6455 Mayfield Street,3350,VIC,Australia,3.0,415,0.921875,70.43179923851194,65-79
Freddi,Litherborough,Female,46,1989-01-14,Product Engineer,Financial Services,Mass Customer,N,No,7,7873 Meadow Vale Plaza,2460,NSW,Australia,3.0,418,0.918,34.76782256547964,35-49
Salomon,Perkins,Male,76,1998-01-12,Engineer IV,Financial Services,Affluent Customer,N,Yes,1,45 Banding Hill,2009,NSW,Australia,10.0,419,0.91640625,25.773798047522394,20-34
Etan,Prinett,Male,97,1970-01-21,Operator,Argiculture,Mass Customer,N,Yes,10,9082 Waywood Avenue,2250,NSW,Australia,8.0,420,0.91375,53.74973184493096,50-64
Donaugh,Benedict,Male,3,1991-12-01,Systems Administrator III,Property,Mass Customer,N,No,12,30049 Brown Road,2233,NSW,Australia,9.0,420,0.91375,31.89028230113472,20-34
